Term,Definition
Intimacy,self-disclosure closeness
Intimacy vs Isolation,20s-40s
Intrinsic motivation,internal rewards drive
Introspection,self-observation
Intuition,effortless immediate cognition
Iris,muscle controlling pupil size
James-Lange theory,emotion from body response
Just-World Phenomenon,Belief that people get what they deserve
Just-world phenomenon,belief world is fair
Kinesthesia,system sensing movement
LSD,Hallucinogen
LSD,powerful hallucinogen
Language,spoken/written/signed communication
Latency stage,repressed sexual urges (6-puberty)
Latent content,dream's underlying meaning
Latent learning,learning without reinforcement
Law of effect,rewarded behavior recurs
Learned helplessness,acquired belief in inability to control outcomes
Lens,transparent eye structure
Lesion,tissue destruction
Levels of analysis,differing complementary views
Limbic system,emotion-related neural system
Linguistic determinism,language influences thought
Linguistic determinism,language shapes thought patterns 
Lobotomy,psychosurgical procedure
Long-term memory,relatively permanent storage
Long-term potentiation (LTP),neural basis for learning
Longitudinal study,follows same subjects
Lymphocytes,white blood cells
MMPI,Minnesota Multiphasic Personality Inventory - clinical assessment tool
MRI,magnetic imaging
Major depressive disorder,prolonged hopelessness
Manifest content,dream's story line
Marijuana,Hallucinogen
Maturation,biological growth processes
Mean,arithmetic average
Medulla,base of brainstem
Memory consolidation,memory storage process
Menarche,first menstrual period
Mental age,intelligence performance level
Mental set,approach that worked before
Mere Exposure Effect,Increased liking through repeated exposure
Meta-analysis,combining research results
Meth,Stimulant
Methamphetamine,powerfully addictive stimulant
Middle ear,chamber between eardrum/cochlea
Milgram,Obedience experiment showing people's tendency to follow authority figures
Minnesota Multiphasic Personality Inventory (MMPI),widely used personality test
Mirror neurons,neurons activated during observation
Misinformation effect,distorting memories
Mnemonics,memory aids
Mode,most frequent score
Modeling,observational learning process
Monocular cues,depth cues available to eye
Mood-congruent memory,matching emotion recall
Morpheme,smallest meaningful unit
Motivation,need/desire energizing behavior
Motor cortex,brain area controlling movements
Mutation,random genetic error
Myelin sheath,neural fiber insulation
NREM sleep,non-rapid eye movement sleep
Narcissistic personality disorder,grandiosity need
Narcolepsy,sleep disorder with sleep attacks
Natural selection,adaptive trait survival
Naturalistic observation,recording behavior naturally
Nature-nurture issue,genes vs experience
Near-death experience,profound consciousness
Negative reinforcement,increasing behavior by stopping
Neo-Freudian,psychologists building on/challenging Freud's theories
Nerves,neural cables
Neurogenesis,new neuron formation
Neuron,nerve cell
Neuroticism,emotional instability and anxiety (CANOE)
Neurotransmitters,chemical messengers
Night Terrors,"Occur in Stage 4 sleep, high arousal without full awakening"
Night terrors,intense arousal episodes
Noam Chomsky,theory of innate language acquisition device
Norepinephrine,Affects alertness and arousal
Normal curve,bell-shaped distribution
Object permanence,objects exist when unseen
Observational learning,learning by watching
Occipital lobes,visual processing area
Oedipus complex,"boy's unconscious desire for mother, rivalry with father"
Oedipus complex,sexual feelings toward parent
One-word stage,single-word communication (12-18 months)
Openness,"imaginative, curious, and creative (CANOE)"
Operant behavior,behavior producing consequences
Operant chamber,Skinner box
Operational definition,precise procedures
Opioids,opium-related pain reducers
Opponent-process theory,color vision theory
Optic nerve,carries neural impulses
Oral stage,infant seeks pleasure through mouth (0-18 months)
Other-race effect,own-race bias recognition
Out-group,those perceived as different
Out-group,Perceived different social group
Overconfidence,overestimating accuracy
PET scan,brain activity visualization
Panic disorder,unpredictable anxiety episodes
Parallel processing,simultaneous processing
Parapsychology,ESP phenomena study
Parasympathetic nervous system,calms body
Parietal lobes,sensory input processing
Partial (intermittent) reinforcement,reinforcing some responses
Passionate love,intense positive absorption
Penis envy,theoretical female desire for male power (Freudian concept)
Perception,organizing/interpreting sensations
Perceptual adaptation,adjusting to changed
Perceptual constancy,perceiving objects invariant
Perceptual set,mental predisposition
Peripheral nervous system (PNS),sensory/motor neurons
Personality,characteristic pattern
Phallic stage,gender awareness and parent attachment (3-6 years)
Phobia,irrational fear
Phoneme,smallest distinctive sound
Physical dependence,physiological need
Piaget Stage,Age Range
Pitch,sound's highness/lowness
Pituitary gland,endocrine system master
Place theory,links pitch to cochlea location
Placebo effect,experimental results expectations
Plasticity,brain's adaptability
Polygraph,emotion detection machine
Population,all cases in study
Positive psychology,human flourishing study
Positive reinforcement,increasing behaviors presenting
Post-traumatic growth,positive psychological changes
Postconventional morality,follow personal ethical principles
Postconventional morality,follow personal ethical principles beyond societal norms
Posthypnotic suggestion,hypnotic instruction
Preconventional morality,obey to avoid punishment or gain rewards
Preconventional morality,obey to avoid punishment or gain rewards
Prejudice,unjustifiable attitude
Prejudice,Unjustifiable negative attitude toward a group
Preoperational,2-7 years
Primary reinforcer,innately reinforcing stimulus
Primary sex characteristics,reproductive organs
Priming,activating associations
Proactive interference,old info disrupts new
Problem-focused coping,changing stressor
Projection,attributing own unacceptable thoughts to others
Projection,attribute own feelings
Projective test,ambiguous stimuli test
Prosocial behavior,positive helpful behavior
Prototype,mental image best example
Psychiatry,medical doctors prescribing
Psychoactive drugs,chemicals altering perceptions
Psychoanalysis,Freud's unconscious theory
Psychodynamic psychology,unconscious dynamics
Psychological dependence,psychological need
Psychology,behavior/mental processes science
Psychometrics,measuring human abilities
Psychoneuroimmunology,health/psychology study
Psychopharmacology,drug effects study
Psychophysics,physical-energy psychological
Psychophysiological illness,mind-body illness
Psychosexual stages,Freud's development stages
Psychosurgery,brain surgery alteration
Psychotherapy,psychological techniques treatment
Puberty,sexual maturation onset
Punishment,decreases behavior frequency
REM Sleep,"Rapid eye movement, paradoxical sleep, dreaming"
REM rebound,increased REM sleep
REM sleep,rapid eye movement sleep
Random assignment,equal chance assignment
Random sample,representative sample
Range,difference between high/low
Rationalization,self-justifying explanations
Rationalization,creating logical explanations for irrational behavior
Rationalization,creating logical explanations for irrational behavior
Reaction formation,unacceptable impulses opposite
Reaction formation,expressing opposite of true feelings
Reactivity,behavior changes when observed
Real self,actual personality characteristics and behaviors
Reality principle,ego's realistic satisfaction
Recall,retrieving information
Reciprocal determinism,behavior/environment interaction
Reciprocity Norms,Social expectation to return favors
Recognition,identifying previously learned
Reflex,automatic response
Refractory Period,Neural recovery period after firing
Refractory period,neuron resting pause
Regression,retreating to earlier stage
Regression,reverting to earlier developmental stage
Rehearsal,conscious repetition
Reinforcement,consequence strengthening behavior
Reinforcement schedule,timing of reinforcements
Relative deprivation,perception of less
Reliability,consistent results
Replication,repeating research essence
Representative heuristic,judging likelihood based on similarity to prototype
Representativeness heuristic,judging category
Repression,banishing anxiety-arousing
Repression,unconscious blocking of unacceptable thoughts
Resilience,coping with stress
Resistance,blocking from consciousness
Reticular formation,brainstem arousal network
Retina,light-sensitive inner eye
Retinal disparity,binocular depth cue
Retrieval,getting information out
Retroactive interference,new info disrupts old
Retrograde amnesia,inability to recall past
Reuptake,neurotransmitter reabsorption
Reuptake,Reabsorption of unused neurotransmitters
Rods,retinal receptors for night
Role,expected social position
Rorschach inkblot test,projective personality test
Rorschach test,inkblot projective personality assessment
SQ3R,"study method (Survey,Question,Read,Recite,Review)"
Saccule,inner ear balance structure
Sample,subset of population
Scapegoat theory,prejudice displacement
Schachter-Singer theory,cognitive label theory
Schizophrenia,disorganized thinking
Secondary reinforcer,learned reinforcer
Secondary sex characteristics,nonreproductive traits
Selective attention,focusing on particular
Self,organizer of thoughts
Self-actualization,achieving full potential
Self-concept,individual's comprehensive self-perception
Self-concept,understanding/assessment
Self-disclosure,intimate revelations
Self-efficacy,belief in one's capacity to execute behaviors
Self-esteem,self-worth
Self-serving bias,favorable self-perceptions
Self-serving bias,"tendency to attribute successes to self and failures
to externals"
Sensation,sensory input detection
Sensorimotor,0-2 years
Sensorimotor stage,sensory experiences stage
Sensorineural hearing loss,inner ear damage
Sensory adaptation,diminished sensitivity
Sensory cortex,brain area processing senses
Sensory interaction,senses influencing each
Sensory memory,immediate recording
Sensory neurons,carry incoming information
Serial position effect,recall best first/last
Serotonin,"Regulates mood, sleep, and appetite"
Set point,stable weight
Sexual orientation,enduring attraction
Sexual response cycle,excitement/plateau/orgasm
Shaping,reinforcers guide behavior
Short-term memory,activated memory storage
Significant difference,non-chance difference
Sleep  Stage 2,"Sleep spindles appear, light sleep"
Sleep Stage 1,"Light sleep with alpha waves, transitional state"
Sleep Stages 3 and 4,"Deep sleep with delta waves, difficult to awaken"
Sleep apnea,breathing cessation during sleep
Social Facilitation,Improved performance in presence of others on simple tasks
Social Loafing,Reduced individual effort in group settings
Social Traps,Mutually destructive behavior through rational self-interest
Social clock,culture's timing expectations
Social exchange theory,maximize benefits
Social facilitation,improved performance
Social identity,group memberships
Social leadership,group-oriented leadership
Social learning theory,learn from observation
Social loafing,exert less effort
Social psychology,social influences study
Social script,culturally modeled guide
Social trap,conflicting parties destruction
Somatic nervous system,skeletal muscle control
Source amnesia,forgetting origin information
Spacing effect,distributed study advantage
Split brain,severed corpus callosum
Spontaneous recovery,extinguished response reappearance
Spotlight effect,overestimating others' noticing
Spotlight effect,overestimation of others' attention to oneself
Standard deviation,variation from average
Stanford-Binet,widely used intelligence test
Statistical significance,low chance occurrence
Stereotype,generalized belief
Stimulants,excite neural activity
Storage,retaining information
Stress,process appraising demands
Structuralism,introspection structure analysis
Subjective well-being,self-perceived happiness
Sublimation,redirecting impulses
Sublimation,"channeling unacceptable impulses into socially acceptable
activities Penis envy"
Sublimation,channeling unacceptable impulses into socially acceptableactivities
Superego,moral conscience incorporating social standards
Survey,self-reported attitudes
Sympathetic nervous system,arousal activation
Synapse,junction between neurons
Syntax,sentence structure rules
TAT,Thematic Apperception Test using story interpretation
Task leadership,goal-oriented leadership
Telegraphic speech,early speech stage
Telegraphic speech,concise noun-verb statements omitting auxiliary words
Temperament,emotional reactivity
Temporal lobes,auditory areas
Teratogens,agents causing birth defects
Term,Definition
Testing effect,enhanced memory
Thalamus,sensory control center
Theory,explains principles
Theory of mind,others' mental state
Threshold,level required to trigger
Threshold,Minimum stimulation needed to trigger neural impulse
Tobacco,Stimulant
Token economy,reinforcers exchangeable
Tolerance,diminishing drug effect
Top-down processing,guided by experience
Trait,characteristic pattern
Trait theory,focuses on identifying and measuring personality characteristics
Transduction,conversion to neural
Transference,transferring feelings
Trust vs Mistrust,0-1 years
Two-factor theory,Schachter-Singer emotion
Two-word stage,telegraphic noun-verb combinations (18-24 months)
Type A personality,competitive/hard-driving
Type A personality,"competitive, time-conscious, prone to hostility"
Type B personality,"relaxed, flexible, patient"
Type B personality,easygoing/relaxed
Unconditional positive regard,accepting attitude
Unconditional positive regard,"total acceptance without judgment
(Rogers)"
Unconditioned response,unlearned natural response
Unconditioned stimulus,naturally triggers response
Unconscious,thoughts not aware
Validity,measures what's intended
Variable-interval schedule,unpredictable time
Variable-ratio schedule,unpredictable number
Vestibular sense,body orientation sense
Visual cliff,depth perception laboratory
Wavelength,distance between peaks
Weber's law,difference threshold principle
Wernicke's area,language comprehension area
Withdrawal,discomfort after stopping
Womb envy,theoretical male desire for reproductive capacity (Horney)
Working memory,conscious active processing
X chromosome,sex chromosome females
Y chromosome,sex chromosome males
Yerkes-Dodson law,moderate arousal
Young-Helmholtz trichromatic theory,color vision theory
Zimbardo,Stanford Prison Experiment/Lucifer Effect - Role Playing: People take on roles they consider proper for the situation
Zygote,fertilized egg
achievement,
care,
complex,"girl's unconscious desire for father, rivalry with mother"
fMRI,brain blood flow visualization
personality,"competitive, time-conscious, prone to hostility Type B"
speech,concise noun-verb statements omitting auxiliary words Type A
stage,telegraphic noun-verb combinations (18-24 months) Telegraphic
stage,single-word communication (12-18 months) Two-word
stage,gender awareness and parent attachment (3-6 years) Latency
theory,"focuses on identifying and measuring personality
characteristics Conscientiousness"
